movieLink,movieID,name,AdjustedDomesticGross,ReleaseDate,Distributor,Genre,Budget,_merge,Release_Year,Release_Month,Year,w2_$_change,w2_rank_change,w3_$_change,w3_rank_change,w_1_date,w_1_gross,w_1_rank,w_2_date,w_2_gross,w_2_rank,w_3_date,w_3_gross,w_3_rank,Major_Genre,w1_$_drop,budget_val,adjusted_budget,abs_profit,rel_profit,w_1_success,w_1_and_2_success
/movies/?id=confessionofachildofthecentury.htm,id=confessionofachildofthecentury.htm,Confession of a Child of the Century,100.0,2015-09-25,Cohen Media Group,Drama,,both,2015.0,9.0,2015.0,,,,,Sep 25-27,100.0,118.0,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=dogeatdog.htm,id=dogeatdog.htm,Dog Eat Dog,100.0,2009-01-23,IFC,Foreign,,both,2009.0,1.0,2009.0,,,,,Jan 23-25,100.0,91.0,,,,,,,Other,,,,,,,
/movies/?id=mummyimazombie.htm,id=mummyimazombie.htm,"Mummy, I'm a Zombie",100.0,2014-09-20,Phase 4,Animation,,both,2014.0,9.0,,,,,,,,,,,,,,,Animation,,,,,,,
/movies/?id=objective.htm,id=objective.htm,The Objective,100.0,2009-02-04,IFC,Horror Thriller,,both,2009.0,2.0,2009.0,,,,,Feb 6-8,100.0,93.0,,,,,,,Horror,,,,,,,
/movies/?id=paranoidgirls.htm,id=paranoidgirls.htm,Paranoid Girls,100.0,2015-11-13,Unknown,Comedy,,both,2015.0,11.0,2015.0,,,,,Nov 13-15,100.0,110.0,,,,,,,Comedy,,,,,,,
/movies/?id=storage24.htm,id=storage24.htm,Storage 24,100.0,2013-01-18,Magnolia,Sci-Fi Horror,,both,2013.0,1.0,2013.0,,,,,Jan 18-20,100.0,85.0,,,,,,,SciFi,,,,,,,
/movies/?id=intervention07.htm,id=intervention07.htm,Intervention,300.0,2007-11-30,Alliance,Drama,,both,2007.0,11.0,2007.0,,,,,Nov 30-Dec 2,300.0,118.0,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=lou.htm,id=lou.htm,Lou! Journal infime,300.0,2015-04-24,Distrib Films,Comedy,,both,2015.0,4.0,2015.0,,,,,Apr 24-26,100.0,116.0,,,,,,,Comedy,,,,,,,
/movies/?id=playback.htm,id=playback.htm,Playback,300.0,2012-03-16,Magnolia,Horror Thriller,,both,2012.0,3.0,2012.0,,,,,Mar 16-18,300.0,114.0,,,,,,,Horror,,,,,,,
/movies/?id=thechambermaid.htm,id=thechambermaid.htm,The Chambermaid,300.0,2015-05-29,Film Movement,Drama,,both,2015.0,5.0,,,,,,,,,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=skinless.htm,id=skinless.htm,Skinless,400.0,2014-03-08,Phantom Pain Films,Horror,"$2,000",both,2014.0,3.0,2014.0,48.8,2.0,,,Mar 7-9,200.0,109.0,Mar 14-16,300.0,107.0,,,,Horror,-100.0,2000.0,2000.0,-1600.0,0.2,0.1,25.0
/movies/?id=apartment143.htm,id=apartment143.htm,Apartment 143,400.0,2012-06-01,Magnolia,Horror,,both,2012.0,6.0,2012.0,,,,,Jun 1-3,300.0,122.0,,,,,,,Horror,,,,,,,
/movies/?id=cinemanovels.htm,id=cinemanovels.htm,Cinemanovels,400.0,2014-07-03,"Monterey Media, Inc.",Drama,,both,2014.0,7.0,,,,,,,,,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=magician2010.htm,id=magician2010.htm,The Magician (2010),400.0,2010-10-29,Regent Releasing,Thriller,,both,2010.0,10.0,2010.0,-36.8,0.0,-70.3,-1.0,Oct 29-31,100.0,117.0,Nov 5-7,100.0,117.0,Nov 12-14,,118.0,Drama/Thriller,0.0,,,,,,
/movies/?id=marsh.htm,id=marsh.htm,The Marsh,400.0,2007-03-23,Alliance,Horror,,both,2007.0,3.0,2007.0,,,,,Mar 23-25,400.0,123.0,,,,,,,Horror,,,,,,,
/movies/?id=prettyvillageprettyflame.htm,id=prettyvillageprettyflame.htm,"Pretty Village, Pretty Flame",400.0,1998-01-16,Wellspring,Unknown,,both,1998.0,1.0,1998.0,,,,,Jan 16-19,300.0,22.0,,,,,,,Other,,,,,,,
/movies/?id=romeandjewel.htm,id=romeandjewel.htm,Rome & Jewel,500.0,2008-11-28,Emerging Pictures,Drama,,both,2008.0,11.0,2008.0,,,,,Nov 28-30,600.0,104.0,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=triumphofthewall.htm,id=triumphofthewall.htm,Triumph of the Wall,500.0,2013-05-31,First Run,Documentary,,both,2013.0,5.0,2013.0,,,,,May 31-Jun 2,400.0,101.0,,,,,,,Other,,,,,,,
/movies/?id=agooddaytodie.htm,id=agooddaytodie.htm,A Good Day to Die,600.0,2011-11-04,Alive Mind Cinema,Documentary,,both,2011.0,11.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=backtonormandy.htm,id=backtonormandy.htm,Back to Normandy,600.0,2008-07-30,Kino,Documentary,,both,2008.0,7.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=bloodyaria.htm,id=bloodyaria.htm,A Bloody Aria,600.0,2008-01-04,ImaginAsian Pictures,Foreign / Horror,,both,2008.0,1.0,2008.0,,,,,Jan 4-6,300.0,86.0,,,,Jan 18-21,300.0,93.0,Other,,,,,,,
/movies/?id=canary.htm,id=canary.htm,Canary,600.0,2008-07-25,ImaginAsian Pictures,Foreign,,both,2008.0,7.0,2008.0,,,,,Jul 25-27,600.0,115.0,,,,,,,Other,,,,,,,
/movies/?id=darkhours.htm,id=darkhours.htm,The Dark Hours,600.0,2005-10-13,Unknown,Horror,,both,2005.0,10.0,2005.0,,,,,Oct 14-16,400.0,133.0,,,,,,,Horror,,,,,,,
/movies/?id=deathofasuperhero.htm,id=deathofasuperhero.htm,Death of a Superhero,600.0,2012-05-04,Tribeca Film,Drama,,both,2012.0,5.0,2012.0,,,,,May 4-6,400.0,125.0,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=falling.htm,id=falling.htm,Falling,600.0,2007-06-29,Kino,Foreign,,both,2007.0,6.0,2007.0,,,,,Jun 29-Jul 1,600.0,95.0,,,,,,,Other,,,,,,,
/movies/?id=gottfried.htm,id=gottfried.htm,Gottfried Helnwein and the Dreaming Child,600.0,2012-11-23,First Run,Documentary,,both,2012.0,11.0,2012.0,,,,,Nov 23-25,400.0,96.0,,,,,,,Other,,,,,,,
/movies/?id=hammerofthegods.htm,id=hammerofthegods.htm,Hammer of the Gods,600.0,2013-07-05,Magnolia,Action,,both,2013.0,7.0,2013.0,50.6,-9.0,,,Jul 5-7,200.0,93.0,Jul 12-14,300.0,102.0,,,,Action/Adventure,-100.0,,,,,,
/movies/?id=lastdoor07.htm,id=lastdoor07.htm,The Last Door,600.0,2007-11-30,Alliance,Unknown,,both,2007.0,11.0,2007.0,,,,,Nov 30-Dec 2,600.0,113.0,,,,,,,Other,,,,,,,
/movies/?id=meetingevil.htm,id=meetingevil.htm,Meeting Evil,600.0,2012-05-04,Magnolia,Crime Drama,,both,2012.0,5.0,2012.0,,,,,May 4-6,200.0,131.0,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=memoria.htm,id=memoria.htm,Memoria,600.0,2016-04-08,"Monterey Media, Inc.",Drama,,both,2016.0,4.0,2016.0,,,,,Apr 8-10,,113.0,,,,Apr 22-24,100.0,107.0,Drama/Thriller,,,,,,,
/movies/?id=serum.htm,id=serum.htm,Serum,600.0,2006-10-30,Arrival Pictures,Sci-Fi Horror,,both,2006.0,10.0,,,,,,,,,,,,,,,SciFi,,,,,,,
/movies/?id=shakehands.htm,id=shakehands.htm,Shake Hands with the Devil,600.0,2010-10-29,Regent Releasing,Historical Drama,,both,2010.0,10.0,2010.0,34.9,2.0,116.0,-1.0,Oct 29-31,100.0,118.0,Nov 5-7,100.0,116.0,Nov 12-14,300.0,117.0,Other,0.0,,,,,,
/movies/?id=tasuma.htm,id=tasuma.htm,Tasuma: The Fighter,600.0,2004-07-30,Artmattan Prods.,Foreign,,both,2004.0,7.0,2004.0,,,,,Jul 30-Aug 1,400.0,121.0,,,,,,,Other,,,,,,,
/movies/?id=trojanwar.htm,id=trojanwar.htm,Trojan War,600.0,1997-09-26,Warner Bros.,Comedy,,both,1997.0,9.0,1997.0,,,,,Sep 26-28,400.0,,,,,,,,Comedy,,,,,,,
